date,Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%)
2009-01-01,90.15,86.02,0.55,14.03,12.03
2009-02-01,90.83,86.99,0.75,14.58,12.57
2009-03-01,91.36,87.94,0.59,14.37,13.1
2009-04-01,91.9,88.84,0.59,13.27,13.51
2009-05-01,93.59,89.75,1.84,13.21,13.79
2009-06-01,95.32,90.55,1.85,11.19,13.69
2009-07-01,97.29,91.36,2.07,11.09,13.44
2009-08-01,98.39,92.18,1.13,11.05,13.31
2009-09-01,98.88,92.95,0.5,10.39,13.07
2009-10-01,99.35,93.81,0.48,11.59,12.8
2009-11-01,100.0,94.73,0.65,12.37,12.61
2009-12-01,102.15,95.77,2.15,13.93,12.54
2010-01-01,103.13,96.85,0.96,14.4,12.59
2010-02-01,105.04,98.03,1.85,15.65,12.7
2010-03-01,104.9,99.16,-0.14,14.81,12.76
2010-04-01,105.72,100.31,0.79,15.04,12.92
2010-05-01,105.68,101.32,-0.04,12.91,12.89
2010-06-01,108.76,102.44,2.91,14.1,13.13
2010-07-01,109.94,103.5,1.08,13.0,13.28
2010-08-01,111.87,104.62,1.76,13.7,13.5
2010-09-01,112.38,105.74,0.46,13.65,13.76
2010-10-01,112.72,106.86,0.3,13.45,13.91
2010-11-01,112.77,107.92,0.04,12.77,13.93
2010-12-01,114.22,108.93,1.29,11.82,13.74
2011-01-01,115.59,109.97,1.2,12.08,13.54
2011-02-01,116.7,110.94,0.96,11.1,13.16
2011-03-01,118.3,112.05,1.37,12.78,13.0
2011-04-01,117.66,113.05,-0.54,11.29,12.69
2011-05-01,118.73,114.14,0.91,12.35,12.65
2011-06-01,119.89,115.06,0.97,10.23,12.32
2011-07-01,120.27,115.93,0.32,9.4,12.01
2011-08-01,122.27,116.79,1.67,9.3,11.64
2011-09-01,124.0,117.76,1.41,10.34,11.36
2011-10-01,124.6,118.75,0.49,10.54,11.13
2011-11-01,124.65,119.74,0.04,10.54,10.95
2011-12-01,125.97,120.72,1.06,10.28,10.83
2012-01-01,130.19,121.94,3.35,12.63,10.89
2012-02-01,130.55,123.09,0.28,11.87,10.95
2012-03-01,132.63,124.28,1.59,12.11,10.91
2012-04-01,132.8,125.55,0.13,12.87,11.05
2012-05-01,133.8,126.8,0.75,12.69,11.1
2012-06-01,135.34,128.09,1.15,12.89,11.32
2012-07-01,135.66,129.37,0.24,12.8,11.6
2012-08-01,136.57,130.56,0.67,11.69,11.79
2012-09-01,137.95,131.73,1.01,11.25,11.86
2012-10-01,139.17,132.94,0.88,11.69,11.95
2012-11-01,140.01,134.22,0.6,12.32,12.09
2012-12-01,141.06,135.48,0.75,11.98,12.22
2013-01-01,141.94,136.46,0.62,9.03,11.91
2013-02-01,143.0,137.5,0.75,9.54,11.7
2013-03-01,144.02,138.44,0.71,8.59,11.39
2013-04-01,144.82,139.45,0.55,9.05,11.07
2013-05-01,145.79,140.45,0.67,8.96,10.76
2013-06-01,146.65,141.39,0.59,8.35,10.38
2013-07-01,147.44,142.37,0.54,8.68,10.05
2013-08-01,147.81,143.31,0.25,8.23,9.76
2013-09-01,148.92,144.22,0.75,7.95,9.49
2013-10-01,150.04,145.13,0.75,7.81,9.17
2013-11-01,151.11,146.05,0.72,7.93,8.82
2013-12-01,152.29,146.99,0.78,7.96,8.5
2014-01-01,153.26,147.93,0.64,7.98,8.41
2014-02-01,154.03,148.85,0.5,7.71,8.26
2014-03-01,155.23,149.78,0.78,7.78,8.19
2014-04-01,156.19,150.73,0.62,7.85,8.09
2014-05-01,157.41,151.7,0.78,7.96,8.01
2014-06-01,158.62,152.7,0.77,8.17,8.0
2014-07-01,159.65,153.71,0.65,8.28,7.97
2014-08-01,160.42,154.76,0.48,8.53,8.0
2014-09-01,161.31,155.8,0.55,8.32,8.03
2014-10-01,162.13,156.8,0.51,8.06,8.05
2014-11-01,163.09,157.8,0.59,7.93,8.05
2014-12-01,164.44,158.82,0.82,7.98,8.05
2015-01-01,165.77,159.86,0.81,8.16,8.06
2015-02-01,166.9,160.93,0.68,8.36,8.12
2015-03-01,168.42,162.03,0.91,8.49,8.18
2015-04-01,169.71,163.16,0.76,8.66,8.24
2015-05-01,171.58,164.34,1.1,9.0,8.33
2015-06-01,173.17,165.55,0.93,9.17,8.42
2015-07-01,174.37,166.77,0.69,9.22,8.5
2015-08-01,175.4,168.02,0.59,9.34,8.57
2015-09-01,176.46,169.29,0.61,9.39,8.66
2015-10-01,177.2,170.54,0.42,9.3,8.76
2015-11-01,178.37,171.81,0.66,9.37,8.88
2015-12-01,180.15,173.12,0.99,9.55,9.01
2016-01-01,181.71,174.45,0.87,9.62,9.13
2016-02-01,185.89,176.03,2.3,11.38,9.39
2016-03-01,189.94,177.83,2.17,12.77,9.75
2016-04-01,192.99,179.77,1.61,13.72,10.18
2016-05-01,198.3,182.0,2.75,15.58,10.75
2016-06-01,201.7,184.37,1.71,16.48,11.37
2016-07-01,204.23,186.86,1.25,17.13,12.04
2016-08-01,206.29,189.44,1.01,17.61,12.74
2016-09-01,207.96,192.06,0.81,17.85,13.45
2016-10-01,209.68,194.77,0.83,18.33,14.21
2016-11-01,211.33,197.51,0.78,18.48,14.96
2016-12-01,213.56,200.3,1.06,18.55,15.7
2017-01-01,215.72,203.13,1.01,18.72,16.44
2017-02-01,218.95,205.89,1.49,17.78,16.96
2017-03-01,222.71,208.62,1.72,17.26,17.32
2017-04-01,226.27,211.39,1.6,17.24,17.59
2017-05-01,230.53,214.08,1.88,16.25,17.63
2017-06-01,234.17,216.78,1.58,16.1,17.58
2017-07-01,237.02,219.52,1.21,16.05,17.47
2017-08-01,239.32,222.27,0.97,16.01,17.33
2017-09-01,241.19,225.04,0.78,15.98,17.17
2017-10-01,243.03,227.82,0.76,15.91,16.97
2017-11-01,244.93,230.62,0.78,15.9,16.76
2017-12-01,246.38,233.35,0.59,15.37,16.5
2018-01-01,248.35,236.07,0.8,15.13,16.22
2018-02-01,250.32,238.69,0.79,14.33,15.93
2018-03-01,252.41,241.16,0.84,13.34,15.6
2018-04-01,254.52,243.52,0.83,12.48,15.2
2018-05-01,257.29,245.75,1.09,11.61,14.79
2018-06-01,260.47,247.94,1.24,11.23,14.37
2018-07-01,263.42,250.14,1.13,11.14,13.95
2018-08-01,266.18,252.38,1.05,11.23,13.55
2018-09-01,268.41,254.64,0.84,11.28,13.16
2018-10-01,270.39,256.92,0.74,11.26,12.78
2018-11-01,272.56,259.23,0.8,11.28,12.41
2018-12-01,274.57,261.58,0.74,11.44,12.1
2019-01-01,276.6,263.93,0.74,11.37,11.8
2019-02-01,278.62,266.29,0.73,11.31,11.56
2019-03-01,280.81,268.66,0.79,11.25,11.4
2019-04-01,283.46,271.07,0.94,11.37,11.31
2019-05-01,286.61,273.51,1.11,11.4,11.3
2019-06-01,289.69,275.95,1.07,11.22,11.3
2019-07-01,292.62,278.38,1.01,11.08,11.29
2019-08-01,295.51,280.82,0.99,11.02,11.27
2019-09-01,298.59,283.34,1.04,11.24,11.27
2019-10-01,301.78,285.95,1.07,11.61,11.3
2019-11-01,304.87,288.65,1.02,11.85,11.35
2019-12-01,307.47,291.39,0.85,11.98,11.4
2020-01-01,310.16,294.18,0.87,12.13,11.46
2020-02-01,312.61,297.02,0.79,12.2,11.54
2020-03-01,315.23,299.88,0.84,12.26,11.62
2020-04-01,318.45,302.8,1.02,12.34,11.71
2020-05-01,322.17,305.76,1.17,12.4,11.79
2020-06-01,326.07,308.79,1.21,12.56,11.9
2020-07-01,330.14,311.92,1.25,12.82,12.05
2020-08-01,334.57,315.18,1.34,13.22,12.23
2020-09-01,339.52,318.59,1.48,13.71,12.44
2020-10-01,344.73,322.17,1.54,14.23,12.66
2020-11-01,350.26,325.95,1.6,14.89,12.92
2020-12-01,355.91,329.98,1.61,15.75,13.25
2021-01-01,361.23,334.24,1.49,16.47,13.62
2021-02-01,366.8,338.76,1.54,17.33,14.05
2021-03-01,372.51,343.53,1.56,18.17,14.55
2021-04-01,376.14,348.34,0.97,18.12,15.04
2021-05-01,379.94,353.15,1.01,17.93,15.5
2021-06-01,383.96,357.98,1.06,17.75,15.93
2021-07-01,387.51,362.76,0.93,17.38,16.3
2021-08-01,391.48,367.5,1.02,17.01,16.6
2021-09-01,395.98,372.2,1.15,16.63,16.83
2021-10-01,399.87,376.8,0.98,15.99,16.96
2021-11-01,404.18,381.29,1.08,15.4,16.98
2021-12-01,411.52,385.93,1.82,15.63,16.95
2022-01-01,417.58,390.62,1.47,15.6,16.87
2022-02-01,424.39,395.42,1.63,15.7,16.73
2022-03-01,431.8,400.36,1.74,15.92,16.54
2022-04-01,439.4,405.63,1.76,16.82,16.45
2022-05-01,447.23,411.24,1.78,17.71,16.45
2022-06-01,455.35,417.19,1.82,18.6,16.54
2022-07-01,463.63,423.53,1.82,19.64,16.75
2022-08-01,471.83,430.23,1.77,20.52,17.07
2022-09-01,478.24,437.09,1.36,20.77,17.43
2022-10-01,484.19,444.11,1.24,21.09,17.86
2022-11-01,490.94,451.34,1.39,21.47,18.37
2022-12-01,499.36,458.66,1.71,21.34,18.85
2023-01-01,508.69,466.25,1.87,21.82,19.36
2023-02-01,517.38,474.0,1.71,21.91,19.87
2023-03-01,526.98,481.93,1.86,22.04,20.37
2023-04-01,537.05,490.07,1.91,22.22,20.82
2023-05-01,547.47,498.42,1.94,22.41,21.2
2023-06-01,559.13,507.07,2.13,22.79,21.54
