,state,food_1,all_items_1
0,Abia,648.17,548.59
1,Abuja,645.18,533.51
2,Adamawa,633.36,528.72
3,Akwa Ibom,662.64,550.82
4,Anambra,641.12,567.99
5,Bauchi,567.99,645.67
6,Bayelsa,682.03,565.42
7,Benue,658.02,544.64
8,Borno,633.88,510.06
9,Cross River,676.62,507.68
10,Delta,678.97,523.97
11,Ebonyi,691.38,575.5
12,Edo,675.06,565.94
13,Ekiti,673.47,504.9
14,Enugu,666.6,517.26
15,Gombe,641.56,555.34
16,Imo,674.21,493.86
17,Jigawa,611.43,543.59
18,Kaduna,644.73,567.49
19,Kano,643.14,562.04
20,Katsina,620.87,495.45
21,Kebbi,650.11,586.16
22,Kogi,761.17,632.81
23,Kwara,727.67,628.9
24,Lagos,703.71,581.68
25,Nassarawa,637.4,551.68
26,Niger,638.05,564.69
27,Ogun,674.58,581.63
28,Ondo,689.99,579.9
29,Osun,656.53,543.92
30,Oyo,666.73,585.57
31,Plateau,638.47,556.93
32,Rivers,686.23,563.05
33,Sokoto,628.63,543.84
34,Taraba,638.29,529.27
35,Yobe,642.36,564.64
36,Zamfara,637.17,561.17
