date,All Items,All Items less Farm Produce. ,All Items less Farm Produce. and Energy,Imported Food,Food,Food &  Non Alcoholic Bev.,Alcoholic Beverage. Tobacco and Kola,Clothing and Footwear,"Housing Water, Electricity. Gas and Other  Fuel",Furnishings & Household Equipment Maintenance.,Health.,Transport,Communication,Recreation & Culture.,Education,Restaurant &  Hotels,Miscellaneous Goods & Services,Month-on (%),Year-on (%),12-month average (%)
2009-01-01,90.15,91.14,92.56,,89.46,89.5,97.59,97.04,92.28,87.27,97.15,91.22,97.08,93.69,88.28,99.37,93.89,0.55,14.03,12.03
2009-02-01,90.83,91.68,92.65,,90.22,90.24,98.47,97.0,92.61,87.38,98.61,90.23,97.1,92.75,88.09,100.41,94.06,0.75,14.58,12.57
2009-03-01,91.36,91.98,93.14,,90.94,90.99,98.47,97.06,92.55,87.87,99.01,90.96,97.09,92.65,89.91,100.18,94.93,0.59,14.37,13.1
2009-04-01,91.9,92.52,94.06,,91.62,91.65,99.06,97.46,92.9,89.6,101.1,94.36,97.09,93.42,89.32,101.32,95.43,0.59,13.27,13.51
2009-05-01,93.59,94.19,95.42,,93.5,93.52,99.48,96.69,94.34,88.77,99.15,95.96,97.09,94.56,92.26,100.23,94.48,1.84,13.21,13.79
2009-06-01,95.32,95.32,96.63,,95.6,95.59,99.73,97.08,96.27,89.59,100.11,94.04,97.09,95.05,92.57,101.09,97.78,1.85,11.19,13.69
2009-07-01,97.29,96.8,98.45,,97.87,97.85,101.35,97.88,98.28,99.26,101.71,92.5,99.44,96.75,93.92,98.94,98.81,2.07,11.09,13.44
2009-08-01,98.39,97.27,97.71,,98.9,98.88,100.2,99.13,98.38,100.24,101.76,93.15,101.48,98.11,99.43,101.22,99.97,1.13,11.05,13.31
2009-09-01,98.88,98.09,98.52,,99.49,99.45,99.27,99.06,98.73,98.71,101.55,94.93,101.19,97.57,99.63,99.95,100.13,0.5,10.39,13.07
2009-10-01,99.35,98.87,99.07,,99.92,99.92,99.68,99.62,99.51,99.08,102.32,95.99,100.42,97.54,97.72,98.99,99.72,0.48,11.59,12.8
2009-11-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.65,12.37,12.61
2009-12-01,102.15,101.5,101.94,101.49,102.4,102.69,101.87,101.51,100.23,101.68,101.81,101.77,99.99,101.87,101.49,102.58,101.74,2.15,13.93,12.54
2010-01-01,103.13,102.14,102.55,101.67,103.7,103.95,102.3,102.37,100.57,103.01,102.99,103.05,99.58,102.99,103.11,106.75,103.3,0.96,14.4,12.59
2010-02-01,105.04,104.5,104.99,103.23,104.84,105.42,102.65,103.42,102.32,104.66,104.9,104.69,100.32,99.44,106.0,106.35,105.9,1.85,15.65,12.7
2010-03-01,104.9,104.11,104.59,103.0,105.3,105.35,104.3,104.48,102.2,105.66,105.26,104.85,100.63,103.26,105.5,105.56,104.43,-0.14,14.81,12.76
2010-04-01,105.72,104.41,105.14,103.91,106.56,106.66,104.81,105.06,102.25,103.77,104.91,106.76,100.35,103.08,105.58,109.73,106.16,0.79,15.04,12.92
2010-05-01,105.68,105.22,106.52,104.94,105.68,106.21,103.77,105.87,102.12,102.61,104.8,106.27,100.22,103.25,108.62,110.08,107.15,-0.04,12.91,12.89
2010-06-01,108.76,107.41,108.61,109.55,109.99,110.15,108.48,109.11,104.79,110.74,108.45,107.42,102.08,102.61,106.55,106.88,109.6,2.91,14.1,13.13
2010-07-01,109.94,107.72,108.84,109.29,111.61,111.98,109.55,110.31,105.13,109.02,110.27,107.45,102.57,102.96,105.71,105.04,110.66,1.08,13.0,13.28
2010-08-01,111.87,109.3,110.42,109.29,113.82,114.13,112.28,112.78,106.2,110.27,112.32,108.58,100.6,105.02,106.02,107.32,111.16,1.76,13.7,13.5
2010-09-01,112.38,110.68,111.71,113.56,113.98,113.53,108.95,112.41,109.88,112.1,111.97,112.18,101.82,108.37,108.36,107.12,111.74,0.46,13.65,13.76
2010-10-01,112.72,111.89,111.99,114.09,113.98,114.07,111.75,112.82,110.97,113.22,114.78,107.05,102.9,109.57,110.11,108.5,110.64,0.3,13.45,13.91
2010-11-01,112.77,111.75,111.33,115.09,114.35,114.26,112.16,112.01,112.61,113.1,111.11,111.72,102.0,107.76,107.69,108.17,112.8,0.04,12.77,13.93
2010-12-01,114.22,112.58,112.49,115.39,115.4,115.46,111.9,113.66,113.19,113.25,112.75,112.94,102.35,107.76,109.14,109.59,112.06,1.29,11.82,13.74
2011-01-01,115.59,114.51,113.01,96.04,114.33,118.69,110.64,114.4,113.86,113.55,111.35,109.23,103.62,108.35,110.22,110.48,113.15,1.2,12.08,13.54
2011-02-01,116.7,115.54,115.5,124.02,117.65,117.93,113.41,116.04,114.73,115.62,114.66,117.21,104.89,106.3,110.59,112.27,114.18,0.96,11.1,13.16
2011-03-01,118.3,117.45,117.47,119.42,118.12,118.18,112.74,116.54,116.02,115.92,117.53,115.47,105.09,107.36,111.04,112.23,112.77,1.37,12.78,13.0
2011-04-01,117.66,117.86,117.94,119.12,118.95,117.99,114.51,116.18,121.02,115.44,117.2,114.77,105.07,107.06,111.37,113.35,114.73,-0.54,11.29,12.69
2011-05-01,118.73,118.9,118.98,120.55,118.55,118.49,115.08,118.21,121.18,116.56,116.63,115.74,105.69,107.39,111.9,113.77,115.59,0.91,12.35,12.65
2011-06-01,119.89,119.79,119.81,111.89,120.13,119.54,114.21,118.0,121.58,116.3,119.85,118.48,105.64,107.93,112.2,114.27,117.93,0.97,10.23,12.32
2011-07-01,120.27,120.08,119.85,112.6,120.4,120.23,112.36,117.66,122.47,117.56,118.31,120.73,106.17,111.09,112.64,115.03,119.83,0.32,9.4,12.01
2011-08-01,122.27,121.17,121.08,115.97,123.68,123.4,116.4,118.75,124.51,119.95,120.43,121.94,106.36,109.53,112.9,115.1,121.49,1.67,9.3,11.64
2011-09-01,124.0,123.48,122.67,117.63,124.78,124.23,116.23,119.93,126.1,119.21,122.34,122.28,106.2,109.75,113.77,115.69,121.56,1.41,10.34,11.36
2011-10-01,124.6,124.8,123.95,116.95,124.98,124.28,117.61,120.59,128.5,119.47,121.76,122.2,106.65,117.05,113.96,116.61,121.97,0.49,10.54,11.13
2011-11-01,124.65,124.55,123.49,124.21,125.35,125.12,118.94,121.86,128.08,120.24,122.68,123.29,107.08,115.72,114.17,116.85,125.48,0.04,10.54,10.95
2011-12-01,125.97,124.76,123.63,125.3,128.12,127.78,119.02,122.31,131.91,119.94,122.83,128.74,106.53,113.33,114.6,118.86,122.66,1.06,10.28,10.83
2012-01-01,130.19,129.11,129.22,121.59,129.26,130.83,123.19,121.09,131.77,120.6,122.7,127.83,108.66,114.51,115.04,120.03,125.87,3.35,12.63,10.89
2012-02-01,130.55,129.3,129.37,121.64,129.1,129.08,123.2,121.12,131.83,120.61,122.71,127.85,108.66,114.51,115.06,120.04,125.88,0.28,11.87,10.95
2012-03-01,132.63,135.06,134.49,129.9,132.11,131.91,120.55,133.73,139.7,130.19,129.67,134.41,113.39,116.7,125.6,121.36,131.57,1.59,12.11,10.91
2012-04-01,132.8,135.18,134.7,131.29,132.33,132.13,121.33,134.11,139.51,130.74,130.15,134.63,113.98,117.55,125.01,121.86,132.0,0.13,12.87,11.05
2012-05-01,133.8,136.65,136.3,132.53,133.89,133.67,121.97,134.67,139.75,131.09,130.78,135.11,114.35,118.43,125.5,122.6,132.56,0.75,12.69,11.1
2012-06-01,135.34,137.99,136.22,132.59,134.54,134.31,122.46,134.79,146.48,131.25,131.08,135.5,114.81,118.51,125.69,123.07,132.87,1.15,12.89,11.32
2012-07-01,135.66,138.14,136.51,132.88,134.96,134.74,122.79,134.91,146.72,131.27,131.27,135.82,114.85,118.86,125.86,123.45,133.13,0.24,12.8,11.6
2012-08-01,136.57,139.0,137.06,134.18,135.94,135.71,123.34,135.65,147.85,131.99,131.96,136.55,115.21,119.37,126.38,124.36,133.73,0.67,11.69,11.79
2012-09-01,137.95,139.66,137.68,134.19,137.47,137.23,123.83,136.52,150.1,132.89,132.4,137.3,115.65,120.56,126.69,124.98,134.36,1.01,11.25,11.86
2012-10-01,139.17,140.28,138.08,135.3,138.81,138.56,124.5,137.53,151.51,133.47,133.06,138.49,116.03,121.36,128.08,125.43,135.32,0.88,11.69,11.95
2012-11-01,140.01,140.86,138.74,136.24,139.84,139.58,125.3,138.18,152.34,134.09,133.52,138.89,116.16,121.83,128.82,125.7,135.6,0.6,12.32,12.09
2012-12-01,141.06,141.84,139.61,137.61,141.19,140.92,126.11,139.09,153.21,134.37,133.88,140.19,116.34,122.07,129.07,126.1,135.98,0.75,11.98,12.22
2013-01-01,141.94,143.75,140.34,138.72,142.32,142.04,127.06,140.09,153.84,135.38,134.29,140.62,116.43,122.2,129.27,126.43,136.28,0.62,9.03,11.91
2013-02-01,143.0,143.76,140.51,139.07,143.26,142.97,128.06,141.32,155.17,136.43,135.46,141.88,116.9,123.26,130.19,127.49,137.44,0.75,9.54,11.7
2013-03-01,144.02,144.76,142.91,139.3,144.64,144.34,128.73,141.77,155.86,136.9,136.44,142.4,117.3,123.74,131.21,127.66,138.77,0.71,8.59,11.39
2013-04-01,144.82,144.48,142.28,139.93,145.57,145.26,129.39,142.79,156.27,137.64,137.25,143.24,117.41,124.55,131.75,128.14,139.66,0.55,9.05,11.07
