,state,acn  ,pdp,adc,cpc,otherparties,totalvotes,winner
0,Abia,4392,1175984,0,3743,4214,1188333,PDP
1,Adamawa,32786,508314,1214,344526,20866,907706,PDP
2,Akwa Ibom,54148,1165629,0,5348,7270,1232395,PDP
3,Anambra,3537,1145169,0,4223,5385,1158314,PDP
4,Bauchi,16674,258404,0,1315209,19807,1610094,CPC
5,Bayelsa,0,504811,0,0,1882,506693,PDP
6,Benue,223007,694776,1936,109680,18310,1047709,PDP
7,Borno,7533,207075,1435,909763,51840,1177646,CPC
8,Cross River,5839,709382,0,4002,7068,726291,PDP
9,Delta,1311,1378851,0,8960,9458,1398580,PDP
10,Ebonyi,1112,480592,0,1025,20161,502890,PDP
11,Edo,54242,542173,0,17795,6982,621192,PDP
12,Ekiti,116981,185009,1314,2689,5865,311858,PDP
13,Enugu,1755,802144,0,3753,6357,814009,PDP
14,Gombe,3420,290376,0,495898,10797,800491,CPC
15,Imo,14821,1381357,0,7591,6081,1409850,PDP
16,Jigawa,17353,491252,1746,663994,38422,1212767,CPC
17,Kaduna,11278,1190179,0,1334244,34262,2569963,CPC
18,Kano,42353,440666,5355,1624543,559243,2672160,CPC
19,Katsina,10945,428392,1146,1163919,35130,1639532,CPC
20,Kebbi,26171,369198,0,501453,27277,924099,CPC
21,Kogi,6516,399816,0,132201,23249,561782,PDP
22,Kwara,52432,268243,0,83603,10476,414754,PDP
23,Lagos,427203,1281688,5339,189983,40831,1945044,PDP
24,Nasarawa,1204,408997,0,278390,5936,694527,PDP
25,Niger,13344,321429,1349,652574,30471,1019167,CPC
26,Ogun,199555,309177,2356,17654,13867,542609,PDP
27,Ondo,74253,387376,0,11890,13318,486837,PDP
28,Osun,299711,188409,0,6997,12425,507542,ACN
29,Oyo,252240,484758,6541,92396,26455,862390,PDP
30,Plateau,10181,1029865,0,356551,14520,1411117,PDP
31,Rivers,16382,1817762,0,13182,6790,1854116,PDP
32,Sokoto,20144,309057,2373,540769,36374,908717,CPC
33,Taraba,17791,451354,0,257986,11934,739065,PDP
34,Yobe,0,117128,3230,337537,157920,615815,CPC
35,Zamfara,17970,238180,1297,624515,59917,941879,CPC
36,Abuja,2327,253444,2036,131576,8711,398094,PDP
