,State,APC,PDP,ADC,LP,APGA,otherparties,regvoters,totalvotes,winner
0,Abia,8914,22676,522,327095,3943,6887,2120808,370037,LP
1,Adamawa,182881,417611,3398,105648,887,20715,2196566,731140,PDP
2,Akwa Ibom,160620,214012,2265,132683,783,44726,2357418,555089,PDP
3,Anambra,5111,9036,208,584621,7388,7497,2656437,613861,LP
4,Bauchi,316694,426607,1291,27373,906,80645,2749268,853516,PDP
5,Bayelsa,42572,68818,589,49975,330,3041,1056862,165325,PDP
6,Benue,310468,130081,2648,308372,3605,14901,2777727,770075,APC
7,Borno,252282,190921,1654,7205,1211,12014,2513281,465287,APC
8,Cross River,130520,95425,2268,179917,618,8220,1766466,416968,LP
9,Delta,90183,161600,1604,341866,3746,16342,3221697,615341,LP
10,Ebonyi,42402,13503,477,259738,4120,5111,1597646,325351,LP
11,Edo,144471,89585,2306,331163,960,12781,2501081,581266,LP
12,Ekiti,201494,89554,1337,11397,268,4121,987647,308171,APC
13,Enugu,4772,15749,282,428640,1548,5433,212793,456424,LP
14,FCT,90902,74194,768,281717,1362,11128,1570307,460071,LP
15,Gombe,146977,319123,1446,26160,558,15777,1575794,510041,APC
16,Imo,66406,30234,770,360495,2562,6913,2419922,467380,LP
17,Jigawa,421390,386587,1139,1889,1040,108486,2351298,920531,APC
18,Kaduna,399293,554360,2815,294494,1599,107592,4335208,1360153,PDP
19,Kano,517341,131716,2845,28513,1253,1020337,5921370,1702005,APC
20,Katsina,482283,489045,1405,6376,1391,78173,3516719,1058673,PDP
21,Kebbi,248088,285175,837,10682,1014,13726,2032041,559522,PDP
22,Kogi,240751,145104,4669,56217,706,9343,1932654,456790,APC
23,Kwara,263572,136909,3007,31166,722,34595,1695927,469971,APC
24,Lagos,572606,75750,5789,582454,2316,32536,7060195,1271451,LP
25,Nasarawa,172922,147093,973,191361,989,27228,1899244,540566,LP
26,Niger,375183,284898,1656,80452,2539,33940,2698344,778668,APC
27,Ondo,369924,115463,5612,47350,1206,11433,1991344,550988,APC
28,Osun,343945,354366,3988,23283,613,7003,1954800,733198,PDP
29,Ogun,341554,123831,10529,85829,934,17447,2688305,580124,APC
30,Oyo,449884,182977,6080,99110,1368,70066,3276675,809485,APC
31,Plateau,307195,243808,1728,466272,883,68284,2789528,1088170,APC
32,Rivers,231591,88468,1823,175071,1468,25230,3537190,523651,APC
33,Sokoto,285444,288679,486,6568,808,4890,2172056,586875,PDP
34,Taraba,135165,189017,1089,146315,4526,23246,2022374,499358,PDP
35,Yobe,151459,198567,1034,2406,875,24056,1485146,378397,PDP
36,Zamfara,298396,193978,582,1660,921,7386,1926870,502923,APC
