date,All Items,All Items less Farm Produce. ,All Items less Farm Produce. and Energy,Imported Food,Food,Food &  Non Alcoholic Bev.,Alcoholic Beverage. Tobacco and Kola,Clothing and Footwear,"Housing Water, Electricity. Gas and Other  Fuel",Furnishings & Household Equipment Maintenance.,Health.,Transport,Communication,Recreation & Culture.,Education,Restaurant &  Hotels,Miscellaneous Goods & Services,Month-on (%),Year-on (%),12-month average (%)
2009-01-01,88.88,88.54,90.03,,89.1,89.13,97.53,96.21,87.15,81.73,97.89,86.56,95.21,91.2,84.46,97.85,92.13,0.79,15.92,12.13
2009-02-01,89.52,89.48,90.24,,89.6,89.62,98.3,95.68,89.02,81.93,99.02,85.58,95.24,89.72,85.4,98.83,93.05,0.72,17.15,13.09
2009-03-01,90.16,89.83,90.75,,90.45,90.49,98.03,96.14,88.84,82.53,99.63,85.68,95.23,90.2,86.98,97.9,94.74,0.71,16.73,13.91
2009-04-01,90.73,90.21,91.74,,91.3,91.32,97.99,96.18,88.53,84.44,102.35,92.04,95.23,90.79,88.92,99.54,95.26,0.64,15.73,14.64
2009-05-01,92.6,92.26,93.82,,93.3,93.31,98.76,96.46,89.68,84.2,100.2,94.04,95.23,91.91,88.37,97.97,91.29,2.06,15.11,15.1
2009-06-01,94.41,93.67,95.14,,95.37,95.34,98.58,97.11,93.43,84.81,100.76,89.65,95.23,92.13,88.65,98.17,97.54,1.95,12.21,15.07
2009-07-01,96.53,95.52,97.54,,97.7,97.66,100.36,95.73,95.94,99.56,102.46,87.23,98.27,94.75,90.44,98.28,99.03,2.25,11.97,14.83
2009-08-01,97.81,96.1,96.87,,98.77,98.73,99.65,98.33,95.59,100.59,102.99,89.89,100.95,96.24,101.34,98.95,100.05,1.32,12.38,14.8
2009-09-01,98.46,97.42,98.21,,99.38,99.33,98.6,98.36,96.76,97.23,103.93,93.19,100.92,95.81,99.77,100.11,99.56,0.67,11.55,14.66
2009-10-01,99.16,98.39,98.96,,100.03,100.02,99.54,98.85,97.91,97.95,104.38,94.64,100.0,96.01,96.55,99.58,98.91,0.71,13.24,14.49
2009-11-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.85,14.16,14.32
2009-12-01,102.78,101.66,102.09,102.29,103.06,103.53,103.49,102.03,99.24,102.4,102.03,101.61,100.63,99.9,102.11,102.04,101.9,2.78,16.56,14.32
2010-01-01,103.59,101.87,102.45,102.17,104.42,104.87,103.62,101.77,98.87,103.91,103.46,102.7,99.47,100.67,103.59,105.49,103.7,0.78,16.55,14.39
2010-02-01,105.58,103.76,104.66,103.33,106.44,106.92,103.49,103.27,100.55,105.54,104.51,105.32,100.52,99.5,104.34,106.03,105.58,1.92,17.93,14.49
