date,All Items,All Items less Farm Produce. ,All Items less Farm Produce. and Energy,Imported Food,Food,Food &  Non Alcoholic Bev.,Alcoholic Beverage. Tobacco and Kola,Clothing and Footwear,"Housing Water, Electricity. Gas and Other  Fuel",Furnishings & Household Equipment Maintenance.,Health.,Transport,Communication,Recreation & Culture.,Education,Restaurant &  Hotels,Miscellaneous Goods & Services,Month-on (%),Year-on (%),12-month average (%)
2009-01-01,92.81,96.59,97.75,,90.49,90.54,97.63,97.8,96.37,96.26,96.28,94.0,99.3,97.8,92.27,102.03,95.97,0.04,10.44,11.84
2009-02-01,93.56,96.3,97.58,,91.99,92.04,98.6,98.2,95.48,96.22,98.14,93.0,99.3,97.77,90.92,103.17,95.25,0.81,9.77,11.56
2009-03-01,93.9,96.51,98.02,,92.37,92.44,98.83,97.89,95.53,96.52,98.29,94.11,99.3,96.72,92.98,104.15,95.14,0.36,9.91,11.54
2009-04-01,94.34,97.36,98.83,,92.55,92.62,99.92,98.62,96.39,97.99,99.65,95.74,99.3,97.8,89.74,104.41,95.63,0.47,8.62,11.32
2009-05-01,95.67,98.22,98.69,,94.08,94.13,100.07,96.89,98.07,96.19,97.95,97.11,99.3,98.94,96.34,104.17,98.22,1.42,9.55,11.25
2009-06-01,97.24,98.76,99.66,,96.27,96.32,100.65,97.04,98.55,97.35,99.34,96.67,99.3,99.88,96.67,106.18,98.06,1.63,9.17,11.04
2009-07-01,98.87,99.46,100.32,,98.36,98.4,102.14,99.86,100.16,98.78,100.85,95.65,100.84,100.08,97.57,100.09,98.54,1.68,9.32,10.74
2009-08-01,99.61,99.72,99.42,,99.28,99.31,100.66,99.86,100.62,99.67,100.33,95.1,102.11,101.21,97.44,105.17,99.86,0.74,8.4,10.42
2009-09-01,99.77,99.5,99.16,,99.81,99.82,99.82,99.69,100.31,101.12,98.8,95.97,101.51,100.47,99.48,99.68,100.8,0.16,8.07,9.97
2009-10-01,99.76,99.87,99.31,,99.61,99.62,99.79,100.33,100.79,100.92,99.95,96.79,100.93,100.06,98.95,97.97,100.66,-0.0,8.3,9.54
2009-11-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.24,8.78,9.28
2009-12-01,101.4,101.31,101.76,100.54,101.61,101.69,99.94,100.88,101.42,100.81,101.55,101.96,99.22,104.24,100.74,103.23,101.55,1.4,9.3,9.12
2010-01-01,102.59,102.46,102.68,101.06,102.83,102.84,100.73,103.08,102.61,101.93,102.42,103.47,99.71,105.77,102.53,108.25,102.84,1.17,10.53,9.14
2010-02-01,104.4,105.38,105.39,103.1,102.91,103.63,101.64,103.6,104.44,103.6,105.37,103.94,100.07,99.38,107.98,106.73,106.27,1.76,11.58,9.3
2010-03-01,105.98,105.74,105.93,103.51,106.14,105.93,103.8,105.91,104.82,106.09,106.83,108.08,100.89,107.09,106.8,107.46,106.09,1.51,12.86,9.56
2010-04-01,105.89,105.41,105.64,103.44,106.3,106.06,103.87,105.98,103.93,105.49,106.86,106.71,100.77,108.29,106.61,111.51,107.0,-0.09,12.24,9.86
2010-05-01,103.83,103.7,104.87,104.46,103.84,104.65,101.98,104.71,99.18,103.02,104.1,105.89,101.19,105.01,105.75,109.31,104.83,-1.94,8.52,9.77
2010-06-01,107.72,106.99,107.96,109.97,108.5,108.59,106.75,108.72,105.22,108.7,107.89,106.23,103.42,103.98,106.77,108.62,109.27,3.75,10.78,9.9
2010-07-01,109.07,107.91,108.43,109.05,110.39,110.55,109.18,110.42,103.87,108.37,111.56,109.3,103.99,102.8,106.65,106.42,110.57,1.25,10.31,9.99
2010-08-01,110.49,108.95,109.94,111.03,112.77,112.85,109.96,112.1,102.96,110.68,112.96,110.01,100.88,106.37,108.07,111.63,111.67,1.3,10.92,10.2
2010-09-01,110.63,109.41,110.52,112.95,112.62,112.43,106.63,112.39,105.99,110.46,110.04,112.15,101.36,110.09,107.63,107.27,109.24,0.13,10.89,10.43
2010-10-01,111.19,110.01,110.1,114.31,113.46,113.52,109.63,111.56,110.75,109.37,110.76,105.81,101.41,109.02,108.43,105.98,110.82,0.51,11.46,10.69
2010-11-01,111.75,111.29,111.09,113.44,112.76,112.85,110.0,112.2,111.04,111.11,111.84,110.39,101.15,109.68,107.94,107.83,113.08,0.5,11.75,10.93
2010-12-01,112.25,111.17,111.03,113.48,113.42,113.36,109.71,113.78,111.83,111.53,112.91,111.66,100.85,109.18,109.29,111.29,112.71,0.45,10.7,11.04
2011-01-01,110.67,108.52,105.96,67.19,111.7,116.52,107.8,114.9,110.79,112.37,111.65,108.28,105.83,108.12,111.17,113.25,111.57,-1.4,7.88,10.81
2011-02-01,114.24,114.13,114.36,117.57,115.51,115.16,110.25,115.13,115.51,114.44,118.61,111.63,101.9,103.74,111.66,114.88,114.59,3.22,9.43,10.62
2011-03-01,114.98,114.88,114.17,118.03,115.96,116.26,109.84,115.69,118.24,115.12,120.51,111.93,101.83,105.12,111.6,115.93,113.84,0.65,8.5,10.26
2011-04-01,115.53,116.28,116.15,114.89,116.39,115.46,112.29,116.27,116.09,114.77,117.78,112.23,102.48,106.12,111.6,115.11,115.49,0.48,9.11,10.01
2011-05-01,115.77,116.84,116.74,116.0,116.67,116.21,112.85,117.22,115.98,116.38,120.06,116.18,102.78,105.64,111.69,115.94,114.66,0.21,11.5,10.25
2011-06-01,116.64,116.65,116.26,112.4,117.97,117.21,112.12,117.23,116.33,115.36,121.1,116.51,102.02,106.47,111.71,116.84,114.71,0.75,8.28,10.03
2011-07-01,116.28,116.77,115.56,111.77,118.05,117.57,112.18,117.43,118.28,116.74,118.79,119.04,103.35,104.92,112.5,117.32,115.83,-0.31,6.61,9.71
2011-08-01,118.29,118.67,117.81,113.42,119.86,119.13,113.81,117.93,119.91,119.73,121.11,122.07,103.43,107.89,112.59,116.12,116.86,1.73,7.06,9.38
2011-09-01,119.97,121.32,119.56,115.52,120.68,119.75,114.14,118.37,124.85,120.22,123.56,121.34,103.72,108.22,113.21,117.67,117.18,1.42,8.44,9.18
2011-10-01,119.87,121.18,119.15,115.53,120.91,119.98,114.56,119.13,125.57,120.3,121.69,121.25,104.26,111.06,113.22,118.8,116.67,-0.09,7.8,8.88
2011-11-01,119.98,121.12,118.93,118.97,120.85,119.75,115.51,120.93,125.14,119.73,123.31,122.84,104.96,108.61,113.69,118.98,120.47,0.09,7.36,8.52
2011-12-01,122.34,122.0,119.6,121.12,124.52,123.82,115.19,120.19,128.04,119.2,122.14,128.17,104.63,107.89,114.6,121.11,117.37,1.97,8.99,8.4
2012-01-01,128.87,128.21,127.4,113.45,125.46,127.09,119.33,119.67,135.4,120.61,123.28,127.44,105.86,108.92,114.86,123.37,119.92,5.34,16.45,9.12
2012-02-01,129.23,128.41,127.55,113.5,126.26,126.22,119.33,119.69,135.48,120.62,123.29,127.47,105.86,108.92,114.88,123.37,119.92,0.28,13.12,9.44
2012-03-01,130.74,132.57,132.06,129.47,129.08,128.92,113.18,135.16,136.9,127.35,128.98,137.6,110.55,115.11,124.24,122.92,131.41,1.17,13.7,9.89
2012-04-01,131.07,132.98,132.58,130.72,129.37,129.21,114.59,136.31,136.95,128.09,129.35,137.58,111.1,116.4,124.44,123.07,132.27,0.25,13.45,10.26
2012-05-01,132.12,133.96,133.63,132.08,131.09,130.89,115.5,136.79,137.16,128.42,130.09,138.16,111.75,117.76,125.32,123.52,132.98,0.81,14.13,10.5
