state,acn  ,pdp,adc,cpc,otherparties,totalvotes,winner
Abia,4392,1175984,0,3743,4214,1188333,PDP
Adamawa,32786,508314,1214,344526,20866,907706,PDP
Akwa Ibom,54148,1165629,0,5348,7270,1232395,PDP
Anambra,3537,1145169,0,4223,5385,1158314,PDP
Bauchi,16674,258404,0,1315209,19807,1610094,CPC
Bayelsa,0,504811,0,0,1882,506693,PDP
Benue,223007,694776,1936,109680,18310,1047709,PDP
Borno,7533,207075,1435,909763,51840,1177646,CPC
Cross River,5839,709382,0,4002,7068,726291,PDP
Delta,1311,1378851,0,8960,9458,1398580,PDP
Ebonyi,1112,480592,0,1025,20161,502890,PDP
Edo,54242,542173,0,17795,6982,621192,PDP
Ekiti,116981,185009,1314,2689,5865,311858,PDP
Enugu,1755,802144,0,3753,6357,814009,PDP
Gombe,3420,290376,0,495898,10797,800491,CPC
Imo,14821,1381357,0,7591,6081,1409850,PDP
Jigawa,17353,491252,1746,663994,38422,1212767,CPC
Kaduna,11278,1190179,0,1334244,34262,2569963,CPC
Kano,42353,440666,5355,1624543,559243,2672160,CPC
Katsina,10945,428392,1146,1163919,35130,1639532,CPC
Kebbi,26171,369198,0,501453,27277,924099,CPC
Kogi,6516,399816,0,132201,23249,561782,PDP
Kwara,52432,268243,0,83603,10476,414754,PDP
Lagos,427203,1281688,5339,189983,40831,1945044,PDP
Nasarawa,1204,408997,0,278390,5936,694527,PDP
Niger,13344,321429,1349,652574,30471,1019167,CPC
Ogun,199555,309177,2356,17654,13867,542609,PDP
Ondo,74253,387376,0,11890,13318,486837,PDP
Osun,299711,188409,0,6997,12425,507542,ACN
Oyo,252240,484758,6541,92396,26455,862390,PDP
Plateau,10181,1029865,0,356551,14520,1411117,PDP
Rivers,16382,1817762,0,13182,6790,1854116,PDP
Sokoto,20144,309057,2373,540769,36374,908717,CPC
Taraba,17791,451354,0,257986,11934,739065,PDP
Yobe,0,117128,3230,337537,157920,615815,CPC
Zamfara,17970,238180,1297,624515,59917,941879,CPC
Abuja,2327,253444,2036,131576,8711,398094,PDP
