,,Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%),Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%),Monthly,12-Month Average,Month-on change (%),Year-on change (%),12-Month average change (%),,
1995,Jan,14.4,,,,,14.7,,,,,20.6,,,,,,95-Jan
,Feb,15.0,, 4.6 ,,,15.3,, 4.0 ,,,21.2,, 2.9 ,,,,Feb
,Mar,15.6,, 3.6 ,,,15.8,, 3.0 ,,,21.9,, 3.6 ,,,,Mar
,Apr,17.0,, 9.0 ,,,16.7,, 6.0 ,,,23.3,, 6.1 ,,,,Apr
,May,18.0,, 6.2 ,,,17.1,, 2.0 ,,,23.8,, 2.1 ,,,,May
,Jun,18.8,, 4.5 ,,,17.4,, 2.0 ,,,24.4,, 2.8 ,,,,Jun
,Jul,19.4,, 3.3 ,,,17.9,, 2.5 ,,,25.2,, 3.0 ,,,,Jul
,Aug,20.1,, 3.5 ,,,18.4,, 2.8 ,,,25.8,, 2.6 ,,,,Aug
,Sep,20.5,, 1.7 ,,,19.0,, 3.7 ,,,26.4,, 2.3 ,,,,Sep
,Oct,20.0,,-2.5 ,,,19.4,, 1.8 ,,,27.0,, 2.4 ,,,,Oct
,Nov,20.2,, 1.4 ,,,19.7,, 1.4 ,,,27.5,, 1.9 ,,,,Nov
,Dec,21.0,18.3, 3.6 ,,,20.1,17.6, 2.4 ,,,28.2,24.6, 2.2 ,,,,Dec
1996,Jan,21.2,18.9, 1.1 ,48,,20.7,18.1, 2.7 , 40.2 ,,28.4,25.3, 1.0 , 38.4 ,,,96-Jan
,Feb,21.6,19.4, 1.8 ,44,,21.1,18.6, 2.1 , 37.7 ,,29.0,25.9, 2.1 , 37.3 ,,,Feb
,Mar,22.1,20.0, 2.3 ,42,,21.5,19.1, 1.9 , 36.1 ,,29.6,26.5, 1.9 , 35.0 ,,,Mar
,Apr,22.4,20.4, 1.3 ,32,,21.7,19.5, 0.9 , 29.6 ,,29.9,27.1, 0.9 , 28.4 ,,,Apr
,May,23.6,20.9, 5.5 ,31,,22.0,19.9, 1.5 , 28.9 ,,30.4,27.7, 1.7 , 27.9 ,,,May
,Jun,24.2,21.3, 2.8 ,29,,22.2,20.3, 0.7 , 27.2 ,,30.3,28.1,-0.2 , 24.2 ,,,Jun
,Jul,25.2,21.8, 3.8 ,30,,22.5,20.7, 1.4 , 26.0 ,,31.0,28.6, 2.1 , 23.1 ,,,Jul
,Aug,25.5,22.3, 1.3 ,27,,22.6,21.0, 0.3 , 23.0 ,,31.2,29.1, 0.8 , 20.9 ,,,Aug
,Sep,25.3,22.7,-0.7 ,24,,22.9,21.4, 1.2 , 20.1 ,,31.5,29.5, 1.1 , 19.4 ,,,Sep
,Oct,24.9,23.1,-1.7 ,25,,22.7,21.6,-0.6 , 17.2 ,,31.4,29.9,-0.4 , 16.1 ,,,Oct
,Nov,24.4,23.4,-1.7 ,21,,22.8,21.9, 0.5 , 16.1 ,,31.5,30.2, 0.3 , 14.3 ,,,Nov
,Dec,24.0,23.7,-2.0 ,14,29.3,23.2,22.2, 1.7 , 15.3 , 25.7 ,31.8,30.5, 1.0 , 12.9 , 24.0 ,,Dec
1997,Jan,24.2,23.9, 1.1 ,14,26.7,23.1,22.4,-0.5 , 11.7 , 23.4 ,31.7,30.8,-0.3 , 11.4 , 21.8 ,,97-Jan
,Feb,24.5,24.2, 1.0 ,13,24.4,23.0,22.5,-0.5 , 8.9 , 21.0 ,31.6,31.0,-0.3 , 8.8 , 19.6 ,,Feb
,Mar,25.1,24.4, 2.7 ,14,22.3,23.5,22.7, 2.3 , 9.3 , 18.9 ,32.6,31.2, 3.0 , 10.0 , 17.6 ,,Mar
,Apr,26.2,24.8, 4.2 ,17,21.2,23.6,22.8, 0.3 , 8.6 , 17.1 ,32.4,31.4,-0.3 , 8.6 , 16.0 ,,Apr
,May,26.6,25.0, 1.7 ,13,19.7,23.6,23.0, 0.2 , 7.2 , 15.4 ,32.6,31.6, 0.6 , 7.4 , 14.4 ,,May
,Jun,27.1,25.2, 1.7 ,12,18.2,23.7,23.1, 0.2 , 6.6 , 13.7 ,32.8,31.8, 0.6 , 8.2 , 13.1 ,,Jun
,Jul,27.3,25.4, 0.7 ,8,16.4,23.7,23.2,-0.0 , 5.1 , 12.1 ,32.9,32.0, 0.1 , 6.2 , 11.8 ,,Jul
,Aug,27.5,25.6, 0.7 ,8,14.8,23.7,23.3,-0.0 , 4.8 , 10.6 ,32.9,32.1, 0.1 , 5.5 , 10.5 ,,Aug
,Sep,27.0,25.7,-1.8 ,7,13.4,23.9,23.4, 1.0 , 4.5 , 9.4 ,33.2,32.3, 0.8 , 5.2 , 9.4 ,,Sep
,Oct,26.5,25.8,-1.9 ,6,12.0,24.1,23.5, 1.0 , 6.1 , 8.5 ,33.4,32.4, 0.8 , 6.5 , 8.6 ,,Oct
,Nov,26.4,26.0,-0.1 ,8,11.0,24.3,23.6, 0.8 , 6.5 , 7.8 ,33.6,32.6, 0.5 , 6.8 , 8.1 ,,Nov
,Dec,26.4,26.2,-0.1 ,10,10.7,24.5,23.7, 0.8 , 5.6 , 7.0 ,33.8,32.8, 0.5 , 6.3 , 7.5 ,,Dec
1998,Jan,26.4,26.4,-0.2 ,9,10.2,24.6,23.8, 0.4 , 6.6 , 6.6 ,34.0,33.0, 0.7 , 7.4 , 7.2 ,,98-Jan
,Feb,26.5,26.6, 0.4 ,8,9.8,24.8,24.0, 0.9 , 8.1 , 6.6 ,33.9,33.2,-0.5 , 7.1 , 7.1 ,,Feb
,Mar,26.9,26.7, 1.5 ,7,9.3,25.1,24.1, 1.2 , 7.0 , 6.4 ,33.7,33.3,-0.4 , 3.6 , 6.5 ,,Mar
,Apr,27.5,26.8, 2.4 ,5,8.3,25.3,24.3, 0.6 , 7.3 , 6.3 ,33.7,33.4, 0.1 , 4.0 , 6.2 ,,Apr
,May,27.8,26.9, 1.1 ,4,7.6,25.7,24.5, 1.7 , 8.9 , 6.4 ,34.0,33.5, 0.8 , 4.2 , 5.9 ,,May
,Jun,28.8,27.1, 3.5 ,6,7.2,27.0,24.7, 5.0 , 14.2 , 7.1 ,34.3,33.6, 0.8 , 4.5 , 5.6 ,,Jun
,Jul,29.6,27.3, 2.9 ,9,7.2,27.1,25.0, 0.4 , 14.6 , 7.9 ,33.7,33.7,-1.6 , 2.7 , 5.3 ,,Jul
,Aug,29.5,27.4,-0.4 ,7,7.2,27.5,25.3, 1.6 , 16.4 , 8.9 ,34.4,33.8, 1.8 , 4.4 , 5.2 ,,Aug
,Sep,28.8,27.6,-2.2 ,7,7.2,28.0,25.7, 1.8 , 17.4 , 10.0 ,34.4,33.9, 0.0 , 3.6 , 5.1 ,,Sep
,Oct,28.8,27.8, 0.0 ,9,7.5,28.6,26.1, 1.8 , 18.4 , 11.0 ,34.5,34.0, 0.4 , 3.3 , 4.8 ,,Oct
,Nov,29.3,28.0, 1.6 ,11,7.7,30.9,26.6, 8.1 , 26.9 , 12.7 ,34.6,34.1, 0.3 , 3.0 , 4.5 ,,Nov
,Dec,29.6,28.3, 0.9 ,12,7.9,30.9,27.1, 0.0 , 26.0 , 14.4 ,35.2,34.2, 1.8 , 4.3 , 4.3 ,,Dec
1999,Jan,30.1,28.6, 1.9 ,14,8.3,32.0,27.7, 3.6 , 29.9 , 16.4 ,35.3,34.3, 0.2 , 3.8 , 4.0 ,,99-Jan
,Feb,30.3,28.9, 0.4 ,14,8.8,32.0,28.3,-0.1 , 28.7 , 18.1 ,35.2,34.4,-0.4 , 3.8 , 3.8 ,,Feb
,Mar,30.5,29.2, 0.8 ,14,9.4,31.8,28.9,-0.5 , 26.5 , 19.8 ,35.3,34.6, 0.5 , 4.8 , 3.9 ,,Mar
,Apr,30.7,29.5, 0.6 ,12,9.9,31.8,29.4, 0.0 , 25.8 , 21.3 ,35.3,34.7, 0.0 , 4.7 , 3.9 ,,Apr
,May,31.0,29.7, 0.9 ,11,10.5,31.9,30.0, 0.2 , 24.0 , 22.5 ,35.9,34.8, 1.7 , 5.7 , 4.0 ,,May
,Jun,31.2,29.9, 0.7 ,8,10.6,31.9,30.4,-0.1 , 17.9 , 22.8 ,36.3,35.0, 1.0 , 5.9 , 4.2 ,,Jun
,Jul,30.8,30.0,-1.2 ,4,10.2,31.5,30.7,-1.0 , 16.3 , 22.8 ,36.3,35.2,-0.1 , 7.5 , 4.6 ,,Jul
,Aug,29.7,30.1,-3.5 ,1,9.6,31.1,31.0,-1.3 , 13.1 , 22.4 ,36.2,35.4,-0.3 , 5.3 , 4.6 ,,Aug
,Sep,29.5,30.1,-0.7 ,2,9.2,30.5,31.2,-2.2 , 8.6 , 21.6 ,36.2,35.5,-0.0 , 5.3 , 4.8 ,,Sep
,Oct,29.3,30.1,-0.7 ,1,8.5,30.5,31.4, 0.0 , 6.7 , 20.5 ,36.3,35.7, 0.5 , 5.3 , 4.9 ,,Oct
,Nov,29.3,30.1, 0.1 ,0,7.6,30.6,31.4, 0.4 ,-0.8 , 17.9 ,36.6,35.9, 0.7 , 5.8 , 5.2 ,,Nov
,Dec,29.6,30.2, 1.1 ,0,6.6,31.3,31.4, 2.3 , 1.4 , 15.7 ,37.0,36.0, 1.0 , 5.0 , 5.2 ,,Dec
2000,Jan,29.4,30.1,-0.8 ,-2,5.2,31.2,31.3,-0.4 ,-2.5 , 12.9 ,29.1,35.5,-21.2 ,-17.5 , 3.4 ,,00-Jan
2000,Feb,29.7,30.0, 1.2 ,-1.7 , 3.9 ,31.3,31.3, 0.4 ,-2.1 , 10.4 ,29.6,35.0, 1.6 ,-15.8 , 1.7 ,,Feb
,Mar,30.1,30.0, 1.1 ,-1,2.7,31.9,31.3, 1.8 , 0.2 , 8.3 ,29.8,34.6, 0.6 ,-15.7 , 0.0 ,,Mar
,Apr,30.7,30.0, 2.0 ,0,1.8,32.5,31.3, 1.9 , 2.0 , 6.4 ,30.3,34.1, 1.9 ,-14.1 ,-1.6 ,,Apr
,May,31.6,30.1, 3.2 ,2,1.1,33.8,31.5, 4.0 , 5.8 , 5.1 ,31.0,33.7, 2.3 ,-13.6 ,-3.2 ,,May
,Jun,33.0,30.2, 4.3 ,6,0.9,36.3,31.9, 7.5 , 13.9 , 4.9 ,31.6,33.3, 1.7 ,-13.0 ,-4.8 ,,Jun
,Jul,32.8,30.4,-0.5 ,7,1.2,36.0,32.2,-0.8 , 14.1 , 4.9 ,31.6,32.9,-0.0 ,-13.0 ,-6.5 ,,Jul
,Aug,33.6,30.7, 2.3 ,13,2.2,37.5,32.8, 4.3 , 20.5 , 5.6 ,31.8,32.6, 0.7 ,-12.1 ,-7.9 ,,Aug
,Sep,34.1,31.1, 1.4 ,16,3.3,39.4,33.5, 4.9 , 29.2 , 7.3 ,31.4,32.2,-1.2 ,-13.2 ,-9.4 ,,Sep
,Oct,34.3,31.5, 0.6 , 17.1 , 4.5 ,39.9,34.3, 1.4 , 31.0 , 9.3 ,31.4,31.8, 0.1 ,-13.5 ,-11.0 ,,Oct
,Nov,33.8,31.9,-1.4 , 15.4 , 5.8 ,38.7,35.0,-3.0 , 26.6 , 11.5 ,31.4,31.3,-0.0 ,-14.2 ,-12.6 ,,Nov
,Dec,33.9,32.2, 0.4 , 14.5 , 6.9 ,38.4,35.6,-0.8 , 22.7 , 13.3 ,31.8,30.9, 1.2 ,-14.1 ,-14.1 ,,Dec
2001,Jan,34.6,32.7, 1.9 , 17.6 , 8.6 ,38.6,36.2, 0.5 , 23.8 , 15.5 ,32.7,31.2, 2.8 , 12.2 ,-12.1 ,,01-Jan
,Feb,35.3,33.1, 2.0 , 18.6 , 10.3 ,38.9,36.8, 0.8 , 24.3 , 17.7 ,33.7,31.5, 3.1 , 13.8 ,-9.9 ,,Feb
,Mar,35.5,33.6, 0.7 , 18.2 , 11.9 ,38.0,37.3,-2.2 , 19.4 , 19.3 ,34.6,31.9, 2.8 , 16.3 ,-7.6 ,,Mar
,Apr,37.8,34.2, 6.3 , 23.2 , 13.9 ,37.7,37.8,-0.8 , 16.2 , 20.5 ,38.4,32.6, 11.0 , 26.7 ,-4.5 ,,Apr
,May,38.9,34.8, 2.9 , 23.0 , 15.7 ,37.6,38.1,-0.3 , 11.3 , 20.9 ,40.4,33.4, 5.2 , 30.2 ,-1.0 ,,May
,Jun,38.3,35.2,-1.5 , 16.1 , 16.6 ,34.9,38.0,-7.1 ,-3.8 , 19.2 ,41.2,34.2, 1.9 , 30.5 , 2.6 ,,Jun
,Jul,39.1,35.8, 2.0 , 19.0 , 17.7 ,36.4,38.0, 4.2 , 1.2 , 17.9 ,42.0,35.1, 1.9 , 33.0 , 6.5 ,,Jul
,Aug,39.9,36.3, 2.1 , 18.7 , 18.1 ,37.6,38.0, 3.2 , 0.1 , 16.0 ,42.6,36.0, 1.4 , 33.9 , 10.4 ,,Aug
,Sep,40.6,36.8, 1.7 , 19.1 , 18.4 ,37.2,37.8,-1.0 ,-5.4 , 12.9 ,43.8,37.0, 2.9 , 39.5 , 15.0 ,,Sep
,Oct,40.9,37.4, 0.8 , 19.3 , 18.6 ,38.8,37.7, 4.3 ,-2.8 , 10.0 ,43.1,38.0,-1.7 , 37.1 , 19.5 ,,Oct
,Nov,39.7,37.9,-2.9 , 17.4 , 18.7 ,38.3,37.7,-1.2 ,-1.0 , 7.8 ,41.3,38.8,-4.1 , 31.5 , 23.8 ,,Nov
,Dec,39.5,38.3,-0.4 , 16.5 , 18.9 ,38.5,37.7, 0.3 , 0.1 , 6.0 ,41.0,39.6,-0.8 , 28.9 , 28.0 ,,Dec
2002,Jan,41.0,38.9, 3.7 , 18.6 , 18.9 ,40.5,37.9, 5.3 , 4.9 , 4.7 ,42.3,40.4, 3.2 , 29.3 , 29.4 ,,02-Jan
,Feb,41.6,39.4, 1.6 , 18.0 , 18.9 ,40.6,38.0, 0.4 , 4.5 , 3.3 ,43.0,41.1, 1.9 , 27.8 , 30.4 ,,Feb
,Mar,41.7,39.9, 0.2 , 17.4 , 18.8 ,40.7,38.2, 0.2 , 7.1 , 2.4 ,43.3,41.9, 0.6 , 25.0 , 31.0 ,,Mar
